Vehicle_Model,Maintenance_History,Reported_Issues,Vehicle_Age,Odometer_Reading,Days_Since_Last_Service,Last_Service_Date,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance
Truck,Good,2,3,19629,430.00,26-02-2024,3,3,13.75075909,Good,New,Good,0
Bus,Poor,0,3,123642,584.00,25-09-2023,2,1,10.99506327,New,New,Good,0
Truck,Average,5,4,109615,584.00,25-09-2023,10,3,14.36875334,Worn Out,Good,New,1
Car,Poor,2,10,23545,638.00,02-08-2023,6,0,14.16781666,Worn Out,Worn Out,Weak,1
Car,Poor,4,9,52045,606.00,03-09-2023,6,0,12.23269274,Good,Good,Weak,1
Bus,Average,4,4,63176,620.00,20-08-2023,4,0,14.91455398,New,New,Good,1
Van,Good,0,7,108454,474.00,13-01-2024,10,1,13.14385177,New,Worn Out,Good,1
Bus,Average,1,8,104559,436.00,20-02-2024,8,3,19.158499,Worn Out,Good,New,1
Van,Average,1,5,8911,632.00,08-08-2023,8,1,13.06060986,Good,Good,Weak,1
SUV,Poor,4,3,71229,654.00,17-07-2023,10,2,14.62633856,Worn Out,New,Weak,1
Van,Average,2,3,103736,657.00,14-07-2023,5,0,16.48270915,New,Good,Weak,1
Bus,Good,4,8,142011,533.00,15-11-2023,5,2,14.70280221,New,Good,New,1
Motorcycle,Average,5,2,130135,761.00,01-04-2023,2,1,14.20064913,Worn Out,New,Good,1
Truck,Poor,0,10,143972,481.00,06-01-2024,1,1,17.60136562,New,New,Weak,1
Car,Good,0,10,129841,546.00,02-11-2023,1,1,14.17927918,New,Worn Out,Good,1
Motorcycle,Average,2,7,107148,739.00,23-04-2023,3,2,15.90607964,Worn Out,Worn Out,New,1
Bus,Poor,3,1,70420,635.00,05-08-2023,8,0,16.18090567,Good,Worn Out,Good,1
Van,Poor,2,6,65467,632.00,08-08-2023,9,2,19.60048024,Good,New,Good,1
Car,Good,3,2,21316,468.00,19-01-2024,8,2,10.23370681,Good,Worn Out,Weak,1
Bus,Poor,2,2,75224,722.00,10-05-2023,4,0,15.96591506,New,Good,Weak,1
Car,Average,4,10,135049,562.00,17-10-2023,1,3,15.33461672,New,Worn Out,New,1
SUV,Average,5,4,85865,527.00,21-11-2023,3,2,18.112797,Worn Out,New,Good,1
Bus,Poor,0,3,100333,492.00,26-12-2023,3,3,13.86378105,New,Worn Out,Weak,1
Truck,Average,4,2,141499,724.00,08-05-2023,9,3,10.39589495,Good,Good,Weak,1
SUV,Good,0,10,115942,684.00,17-06-2023,5,2,12.36350716,Good,New,Good,0
Car,Average,3,2,128410,717.00,15-05-2023,6,3,15.94721018,New,Good,New,1
Truck,Poor,0,9,138149,742.00,20-04-2023,7,3,15.12507578,New,New,Good,0
Bus,Poor,1,8,19996,477.00,10-01-2024,5,2,10.29667181,New,New,Weak,1
Bus,Average,4,5,67225,649.00,22-07-2023,4,1,14.93842626,New,Worn Out,New,1
Van,Poor,4,4,101228,609.00,31-08-2023,7,3,17.71007017,New,Good,Good,1
Car,Good,5,5,109879,446.00,10-02-2024,2,2,13.31576719,New,New,Weak,1
Truck,Average,0,2,9225,737.00,25-04-2023,7,2,12.57557357,Good,Worn Out,Good,1
Car,Poor,2,8,126204,559.00,20-10-2023,10,1,11.7386154,New,Worn Out,Good,1
Van,Poor,2,6,79151,686.00,15-06-2023,1,3,18.43885393,Good,New,Weak,1
Truck,Average,5,3,24877,762.00,31-03-2023,1,0,11.39987281,Good,New,Weak,1
Car,Good,1,7,142387,582.00,27-09-2023,1,0,16.79458961,Worn Out,Worn Out,New,1
Bus,Average,2,6,73788,433.00,23-02-2024,7,3,11.02493108,New,New,New,0
Truck,Good,1,9,22809,579.00,30-09-2023,3,2,10.71344328,Worn Out,New,Weak,1
Truck,Poor,3,2,146973,729.00,03-05-2023,2,3,19.13979881,New,Worn Out,Good,1
Car,Poor,3,10,100287,453.00,03-02-2024,8,0,17.17330828,New,Worn Out,New,1
Truck,Good,2,3,84858,464.00,23-01-2024,4,2,11.18577676,New,New,Good,0
SUV,Poor,4,4,51114,697.00,04-06-2023,8,1,15.361419,Worn Out,Good,Good,1
Motorcycle,Poor,3,1,119083,601.00,08-09-2023,8,2,12.12028038,Good,Good,New,1
Car,Average,4,1,131474,655.00,16-07-2023,2,0,13.47910189,New,New,Good,1
Bus,Poor,0,5,75275,708.00,24-05-2023,7,3,10.05027458,Worn Out,Worn Out,New,1
Motorcycle,Poor,3,9,85247,650.00,21-07-2023,1,2,10.91958098,Good,New,Good,1
Car,Average,2,6,121408,527.00,21-11-2023,6,0,17.10106217,Good,Worn Out,Weak,1
SUV,Average,4,1,64495,574.00,05-10-2023,7,2,11.42394756,New,Worn Out,Good,1
Bus,Good,3,6,25552,652.00,19-07-2023,1,0,13.67604125,New,Worn Out,Weak,1
SUV,Good,2,7,73696,529.00,19-11-2023,6,0,15.37386332,Worn Out,Good,Weak,1
Motorcycle,Poor,5,3,58377,698.00,03-06-2023,6,2,17.44281332,New,Worn Out,Good,1
Truck,Poor,3,1,85319,496.00,22-12-2023,9,2,14.85331038,Worn Out,Good,New,1
Van,Average,0,10,36083,569.00,10-10-2023,3,0,10.7044196,Worn Out,Good,Weak,1
Motorcycle,Good,1,4,121980,559.00,20-10-2023,7,3,14.69669868,Worn Out,Good,Weak,1
Motorcycle,Poor,0,9,119258,736.00,26-04-2023,9,3,15.49711092,Good,Worn Out,New,1
Car,Good,2,6,110628,631.00,09-08-2023,3,3,16.35721232,New,Worn Out,New,1
Motorcycle,Good,0,8,145082,741.00,21-04-2023,7,2,17.52724888,New,Good,Good,0
SUV,Average,2,8,13280,682.00,19-06-2023,9,1,10.17567775,Worn Out,New,New,0
Truck,Good,3,10,51431,532.00,16-11-2023,7,1,16.15896665,Good,Good,Weak,1
Car,Average,3,5,103905,731.00,01-05-2023,9,2,19.25901806,Worn Out,Worn Out,Good,1
Van,Good,1,9,19339,752.00,10-04-2023,10,1,16.48275559,New,New,Good,0
Motorcycle,Average,5,1,6158,742.00,20-04-2023,2,3,11.79246158,Worn Out,Worn Out,Weak,1
Van,Good,4,5,63430,582.00,27-09-2023,4,2,10.37576524,Worn Out,Worn Out,Good,1
Car,Average,1,8,30353,526.00,22-11-2023,1,0,10.83224697,Good,Worn Out,New,1
Motorcycle,Average,2,6,62554,502.00,16-12-2023,5,2,10.92662486,Good,Good,Weak,1
Bus,Average,4,10,80410,448.00,08-02-2024,2,3,17.84754583,Worn Out,New,Weak,1
SUV,Average,0,3,129859,528.00,20-11-2023,4,2,17.42727345,New,Good,New,0
Van,Average,1,7,37276,546.00,02-11-2023,9,1,12.39172875,New,New,New,0
Bus,Good,1,7,75191,489.00,29-12-2023,7,0,12.30409575,Good,Good,Good,0
Car,Good,3,10,60488,715.00,17-05-2023,9,2,14.12244266,New,Worn Out,Weak,1
Motorcycle,Good,1,3,133798,510.00,08-12-2023,6,1,13.64009214,New,Worn Out,Weak,1
Bus,Average,2,3,38992,707.00,25-05-2023,10,2,18.52197318,Good,Good,Good,1
Car,Poor,5,6,118668,720.00,12-05-2023,4,1,16.47762468,Good,New,New,1
Car,Poor,3,5,88688,474.00,13-01-2024,3,2,16.8939445,Worn Out,Good,New,1
Car,Poor,2,6,17801,478.00,09-01-2024,9,2,19.75956057,New,Worn Out,New,1
Van,Poor,5,3,3880,430.00,26-02-2024,2,2,10.38072466,Worn Out,New,New,1
Motorcycle,Average,0,9,29956,722.00,10-05-2023,7,1,14.3792612,New,New,New,0
SUV,Average,0,9,68889,504.00,14-12-2023,4,0,12.27681387,New,New,Weak,1
Truck,Good,2,1,15227,688.00,13-06-2023,8,3,10.80323933,New,New,Weak,1
Car,Good,3,1,79547,650.00,21-07-2023,7,1,19.39230911,Good,New,New,0
Van,Good,5,1,131916,529.00,19-11-2023,2,0,10.06805235,New,Worn Out,New,1
Van,Good,5,4,103984,575.00,04-10-2023,8,0,15.25751094,New,New,New,1
Van,Good,1,3,10255,687.00,14-06-2023,8,3,16.32265645,New,Good,Good,1
Motorcycle,Average,3,6,35700,697.00,04-06-2023,2,0,10.60471804,Worn Out,Worn Out,Good,1
Van,Poor,5,6,64051,668.00,03-07-2023,4,1,16.13658233,Good,New,Good,1
SUV,Good,0,9,136888,696.00,05-06-2023,7,2,18.41435244,Worn Out,Worn Out,Weak,1
Bus,Good,3,4,1048,448.00,08-02-2024,5,1,15.89897385,Worn Out,Good,Good,0
Bus,Good,5,7,45234,484.00,03-01-2024,5,1,16.06732928,New,Worn Out,Good,1
Bus,Good,3,10,148163,662.00,09-07-2023,8,2,10.52995174,Worn Out,Worn Out,New,1
SUV,Good,4,2,49035,474.00,13-01-2024,2,1,17.68585545,New,Worn Out,Good,1
Car,Poor,0,4,10039,714.00,18-05-2023,7,1,10.23604559,Worn Out,New,New,0
Bus,Good,1,5,59622,521.00,27-11-2023,6,2,19.78895494,Worn Out,New,Good,0
Bus,Good,0,7,70492,493.00,25-12-2023,10,2,13.85101538,Worn Out,New,Good,1
Car,Poor,4,4,36498,456.00,31-01-2024,4,2,12.45804747,Worn Out,New,Good,1
SUV,Average,3,7,118471,502.00,16-12-2023,10,2,13.33653348,New,Good,Good,1
Van,Good,2,10,6358,470.00,17-01-2024,10,3,10.81003894,Worn Out,Worn Out,Weak,1
SUV,Good,2,6,95557,478.00,09-01-2024,7,2,12.10800163,Good,New,New,0
Van,Poor,2,5,107014,581.00,28-09-2023,6,3,14.1859388,Good,New,Weak,1
Truck,Average,3,8,140360,599.00,10-09-2023,2,1,16.22591901,Good,Worn Out,New,1
Bus,Poor,5,9,147269,744.00,18-04-2023,8,1,17.5885812,New,New,Good,1
Car,Good,1,6,83980,713.00,19-05-2023,6,1,19.32836214,Worn Out,Good,Good,0
Truck,Good,2,1,118399,507.00,11-12-2023,5,0,10.62749915,Good,Good,New,0
Car,Poor,5,5,147189,729.00,03-05-2023,4,0,19.30441584,Worn Out,Good,New,1
Motorcycle,Good,3,6,39402,428.00,28-02-2024,9,1,17.84452751,Worn Out,New,Weak,1
Truck,Poor,1,6,64740,528.00,20-11-2023,7,1,17.83361311,Worn Out,New,New,0
Van,Average,5,7,50144,717.00,15-05-2023,1,2,17.26145622,New,New,Good,1
Bus,Poor,3,8,132877,587.00,22-09-2023,6,3,19.25530182,Good,Good,Weak,1
Car,Average,3,3,93329,606.00,03-09-2023,7,1,18.54116454,Worn Out,New,Good,1
Bus,Good,4,7,67228,719.00,13-05-2023,7,1,11.49610016,New,Good,Weak,1
SUV,Good,2,2,73641,592.00,17-09-2023,5,3,11.60357513,Good,New,Weak,1
Car,Poor,4,7,99094,612.00,28-08-2023,6,0,13.03323078,New,Good,New,1
Van,Good,5,1,20382,473.00,14-01-2024,7,1,16.14638274,Worn Out,New,Good,1
Truck,Average,5,3,120360,708.00,24-05-2023,10,3,10.30495852,New,Worn Out,Good,1
Motorcycle,Poor,5,10,132045,710.00,22-05-2023,1,2,12.75022107,Worn Out,New,Good,1
Van,Poor,2,5,136893,502.00,16-12-2023,9,3,10.83983316,Good,New,Good,1
Car,Average,2,3,74282,666.00,05-07-2023,1,3,15.30221581,New,New,Good,0
Motorcycle,Poor,3,1,110678,679.00,22-06-2023,4,3,13.17983821,Good,New,Good,1
Motorcycle,Good,4,3,117737,720.00,12-05-2023,7,0,15.73185138,Good,New,Good,1
Car,Good,5,7,60652,603.00,06-09-2023,7,1,15.47158401,New,Worn Out,Good,1
Bus,Good,2,2,115316,558.00,21-10-2023,8,1,12.46548257,Good,New,Weak,1
Motorcycle,Poor,2,6,9040,471.00,16-01-2024,3,0,17.57265649,New,Worn Out,New,1
Motorcycle,Good,2,7,11616,744.00,18-04-2023,1,3,18.55211621,Worn Out,Good,New,0
Truck,Good,0,9,53895,465.00,22-01-2024,10,2,10.06560611,Good,Worn Out,New,1
Motorcycle,Good,0,6,54332,526.00,22-11-2023,6,0,18.16679362,Good,Worn Out,New,1
Van,Good,4,10,22894,584.00,25-09-2023,2,1,17.59152286,Worn Out,New,Good,1
Car,Poor,0,10,57808,732.00,30-04-2023,3,2,13.52234288,New,Good,Weak,1
Motorcycle,Average,4,7,41846,707.00,25-05-2023,9,1,12.23585398,New,Good,New,1
Car,Average,0,9,74523,438.00,18-02-2024,4,3,17.54897407,New,Good,Good,0
Car,Good,5,5,137176,507.00,11-12-2023,10,2,19.56091527,New,Worn Out,New,1
Car,Average,3,1,58165,720.00,12-05-2023,6,0,10.07871726,Worn Out,New,Weak,1
Van,Average,3,7,61329,436.00,20-02-2024,4,3,16.03842298,Good,Good,New,1
Truck,Good,1,8,4023,715.00,17-05-2023,4,0,15.79850563,New,Worn Out,New,1
Bus,Poor,5,8,79223,602.00,07-09-2023,1,0,19.78337087,New,Worn Out,Weak,1
Motorcycle,Good,2,1,92469,695.00,06-06-2023,5,2,11.9473883,Worn Out,Good,Good,0
Bus,Average,4,6,118594,653.00,18-07-2023,3,0,15.15846789,New,Good,New,1
Car,Good,2,3,145650,507.00,11-12-2023,2,2,16.82163508,New,Worn Out,Good,1
Bus,Average,4,3,47326,759.00,03-04-2023,6,3,15.39904216,New,Good,Good,1
Car,Average,3,10,35761,602.00,07-09-2023,2,1,13.00596856,Good,Good,New,1
Car,Good,4,3,76639,551.00,28-10-2023,3,1,16.72755821,Worn Out,Worn Out,Good,1
Car,Average,1,10,128747,758.00,04-04-2023,3,0,12.94043374,Worn Out,Worn Out,New,1
Truck,Good,4,5,138784,759.00,03-04-2023,7,0,14.35237956,Good,Worn Out,Good,1
Van,Average,3,2,120160,757.00,05-04-2023,6,1,14.41161458,Worn Out,Good,Weak,1
Van,Good,5,3,80660,758.00,04-04-2023,8,1,17.65316048,New,Worn Out,Weak,1
SUV,Average,0,3,15318,439.00,17-02-2024,6,2,10.501414,New,New,Good,0
Van,Average,0,4,139539,651.00,20-07-2023,10,1,18.70855619,New,Good,Good,0
SUV,Good,1,8,126292,491.00,27-12-2023,9,1,10.46773671,Worn Out,Good,New,0
Truck,Average,3,2,87985,523.00,25-11-2023,1,3,11.80536139,Good,New,Weak,1
Bus,Poor,5,3,66557,435.00,21-02-2024,7,1,18.56049047,New,Worn Out,Good,1
Bus,Average,1,1,140707,466.00,21-01-2024,9,2,18.11308024,Good,Worn Out,Weak,1
Motorcycle,Poor,2,10,28929,488.00,30-12-2023,9,3,16.82768658,Good,Good,Weak,1
Bus,Average,5,3,46892,661.00,10-07-2023,4,1,18.84547373,New,New,New,1
Motorcycle,Poor,2,7,28649,667.00,04-07-2023,3,2,15.69286844,Good,Worn Out,Good,1
Car,Poor,4,3,31761,507.00,11-12-2023,9,0,10.85956884,Good,Worn Out,Good,1
Truck,Poor,3,5,20076,713.00,19-05-2023,10,0,12.73669966,Good,New,Weak,1
Truck,Good,1,4,98719,662.00,09-07-2023,7,3,11.46549602,New,Worn Out,Weak,1
Bus,Average,2,2,70585,542.00,06-11-2023,5,1,17.21764633,Good,New,Good,0
Van,Poor,1,5,54955,448.00,08-02-2024,6,2,19.9130888,New,New,Weak,1
Motorcycle,Poor,3,2,98942,628.00,12-08-2023,5,2,14.55096334,Good,Good,New,1
Bus,Average,3,6,14945,442.00,14-02-2024,1,2,18.64449899,Worn Out,New,Good,1
Bus,Good,5,6,67923,514.00,04-12-2023,1,0,12.45036982,Good,Worn Out,Weak,1
Motorcycle,Good,3,5,149344,489.00,29-12-2023,9,0,18.19477885,New,Worn Out,New,1
Car,Good,0,2,65604,731.00,01-05-2023,10,2,13.4922464,New,Worn Out,Weak,1
Truck,Average,0,10,100239,507.00,11-12-2023,7,1,11.84147429,New,Worn Out,Good,1
Bus,Average,5,10,141718,521.00,27-11-2023,5,3,18.63014726,Good,Worn Out,New,1
SUV,Average,5,9,70648,682.00,19-06-2023,9,0,12.45304423,New,New,Good,1
Truck,Average,2,7,7815,749.00,13-04-2023,4,3,16.77879627,Good,Worn Out,Good,1
Car,Average,3,2,100748,699.00,02-06-2023,3,0,11.18914948,Good,Worn Out,New,1
Car,Average,5,2,29447,531.00,17-11-2023,1,1,18.01839631,Good,Good,New,1
Car,Average,0,2,66371,448.00,08-02-2024,1,2,17.6226418,New,New,Weak,1
Bus,Good,3,5,24817,448.00,08-02-2024,8,3,11.63284486,New,Worn Out,Weak,1
SUV,Average,2,4,97933,655.00,16-07-2023,10,2,13.70121553,Worn Out,New,Weak,1
Motorcycle,Average,2,6,114506,636.00,04-08-2023,5,3,16.29150092,Worn Out,Worn Out,Good,1
Car,Poor,2,6,78763,559.00,20-10-2023,7,1,16.95510053,Worn Out,New,New,1
Truck,Average,2,5,138177,725.00,07-05-2023,7,3,13.85260749,Good,New,New,0
Bus,Average,2,4,81608,656.00,15-07-2023,10,2,10.48422347,New,New,New,1
Van,Average,2,4,79146,491.00,27-12-2023,1,3,15.62232006,Good,Good,New,0
Car,Good,4,3,47699,436.00,20-02-2024,7,2,15.79042903,New,Worn Out,Good,1
Car,Poor,2,1,112934,634.00,06-08-2023,3,2,13.19803773,Worn Out,Good,Weak,1
Van,Average,2,10,111047,475.00,12-01-2024,7,3,14.19124419,New,Good,Good,0
Truck,Poor,4,8,38276,618.00,22-08-2023,5,0,11.09859302,Good,Worn Out,Weak,1
Van,Average,1,9,107928,736.00,26-04-2023,1,3,12.42449217,Worn Out,New,New,0
Truck,Poor,5,6,63802,618.00,22-08-2023,10,0,12.94718591,New,New,New,1
SUV,Average,4,7,37061,639.00,01-08-2023,1,3,17.92901379,New,New,Weak,1
Truck,Good,5,2,25133,655.00,16-07-2023,6,3,19.97620214,Good,Worn Out,New,1
SUV,Average,0,5,7887,443.00,13-02-2024,5,3,19.3736487,New,Worn Out,Good,1
SUV,Good,4,7,53813,713.00,19-05-2023,2,1,18.37651431,Worn Out,Worn Out,Weak,1
Car,Average,0,10,109097,685.00,16-06-2023,4,3,11.31520882,New,Good,Weak,1
Car,Good,2,6,86330,739.00,23-04-2023,4,0,19.65703278,New,New,Good,0
SUV,Poor,3,1,98581,747.00,15-04-2023,8,2,11.70452207,Good,Worn Out,Good,1
SUV,Poor,4,7,50217,636.00,04-08-2023,8,1,16.44650917,Good,Worn Out,New,1
Motorcycle,Poor,2,2,68044,587.00,22-09-2023,1,3,19.56391992,Worn Out,Good,Weak,1
Van,Good,1,8,18025,667.00,04-07-2023,1,0,15.60809425,Good,Worn Out,Good,1
Bus,Poor,2,2,16139,434.00,22-02-2024,8,2,19.18258761,Worn Out,Good,New,1
Bus,Good,1,3,106293,482.00,05-01-2024,9,1,16.95872602,Good,Worn Out,New,1
SUV,Poor,2,4,101357,545.00,03-11-2023,7,1,18.34221271,New,Worn Out,New,1
Bus,Average,0,3,40541,433.00,23-02-2024,8,1,19.44595022,Good,New,Good,0
Van,Good,5,4,50784,559.00,20-10-2023,7,3,12.55549024,Good,Good,New,1
Truck,Poor,5,9,65430,603.00,06-09-2023,3,3,13.97995094,Worn Out,New,Weak,1
Truck,Good,1,9,119791,491.00,27-12-2023,7,1,12.69316592,New,Worn Out,Good,1
Bus,Good,5,4,2358,543.00,05-11-2023,5,3,10.93202878,Worn Out,Good,Weak,1
Bus,Poor,3,2,80017,689.00,12-06-2023,5,0,12.81119434,Good,New,New,1
Bus,Good,4,9,91008,631.00,09-08-2023,7,3,18.65014409,New,Good,Weak,1
Van,Average,3,10,24899,762.00,31-03-2023,2,2,17.76186073,Worn Out,Good,Weak,1
Motorcycle,Poor,5,10,110346,724.00,08-05-2023,7,0,13.10665723,Good,New,New,1
Bus,Average,4,2,126671,726.00,06-05-2023,3,1,18.47285274,Worn Out,Good,Good,1
Motorcycle,Poor,4,4,51599,541.00,07-11-2023,5,0,18.45630904,Worn Out,Good,New,1
Car,Average,5,9,16924,462.00,25-01-2024,7,2,18.29566496,Worn Out,New,New,1
Bus,Good,2,7,93712,481.00,06-01-2024,6,0,15.03995363,Good,New,Weak,1
SUV,Average,1,9,29635,659.00,12-07-2023,8,0,13.06622959,Good,New,Weak,1
Car,Good,3,4,77996,590.00,19-09-2023,7,0,11.31905882,Good,Good,New,0
Van,Good,3,1,148084,658.00,13-07-2023,8,0,18.19919692,New,Worn Out,Weak,1
Truck,Poor,5,9,106665,705.00,27-05-2023,7,3,11.84118828,Good,New,Weak,1
SUV,Average,2,4,36814,649.00,22-07-2023,10,0,15.40847614,Good,Good,Weak,1
Bus,Good,3,6,9353,590.00,19-09-2023,6,0,10.76023885,New,Worn Out,Weak,1
Motorcycle,Good,4,9,130707,488.00,30-12-2023,5,2,13.65164979,New,Worn Out,Weak,1
Truck,Poor,1,1,141804,483.00,04-01-2024,3,3,14.98863189,New,Worn Out,New,1
Motorcycle,Poor,5,4,39382,434.00,22-02-2024,7,3,13.04612979,Worn Out,Good,Weak,1
Truck,Poor,3,1,39085,650.00,21-07-2023,1,2,18.45115221,New,Worn Out,Weak,1
Bus,Average,1,3,46225,762.00,31-03-2023,3,2,15.41103128,New,Worn Out,Weak,1
Bus,Poor,2,5,127070,500.00,18-12-2023,4,2,15.9365882,Worn Out,Good,New,1
Bus,Good,0,8,63061,522.00,26-11-2023,1,0,11.25757814,Good,Good,Good,0
Motorcycle,Good,2,5,19758,480.00,07-01-2024,3,0,10.68494403,Good,New,Weak,1
Bus,Poor,4,6,26187,549.00,30-10-2023,10,1,13.61181023,Worn Out,New,Weak,1
Car,Poor,4,3,132172,561.00,18-10-2023,3,1,15.4495801,New,New,Good,1
Motorcycle,Poor,5,9,56747,651.00,20-07-2023,7,2,10.38921486,Worn Out,Worn Out,New,1
Car,Good,2,4,78691,518.00,30-11-2023,1,1,13.90214296,New,New,New,0
Van,Good,2,10,120860,504.00,14-12-2023,7,0,13.52401009,Worn Out,New,New,0
Motorcycle,Good,1,9,138137,620.00,20-08-2023,6,3,19.0289373,Worn Out,Worn Out,New,1
Bus,Good,4,8,57131,550.00,29-10-2023,1,3,12.02087371,Good,Worn Out,Good,1
Van,Good,5,2,74761,737.00,25-04-2023,8,2,13.33678737,Worn Out,New,Weak,1
SUV,Average,5,5,126746,728.00,04-05-2023,8,3,18.50411647,New,Good,New,1
SUV,Good,2,5,34824,499.00,19-12-2023,4,2,15.2597572,Good,Worn Out,Weak,1
Car,Good,2,9,145894,587.00,22-09-2023,5,3,14.95888669,Worn Out,Worn Out,Good,1
Car,Poor,4,7,148126,724.00,08-05-2023,4,1,12.98916308,New,New,Good,1
Van,Poor,2,8,18382,700.00,01-06-2023,5,2,17.51401867,Good,Good,New,1
Car,Good,3,5,127300,437.00,19-02-2024,2,1,12.48813463,Good,Worn Out,Good,1
SUV,Good,0,3,21140,631.00,09-08-2023,6,1,19.17352775,Worn Out,Worn Out,New,1
Van,Good,5,8,129635,752.00,10-04-2023,9,1,19.91926002,Worn Out,Worn Out,Weak,1
Van,Good,4,9,109309,522.00,26-11-2023,8,0,14.25060041,New,New,Good,1
Car,Good,3,6,147835,626.00,14-08-2023,9,3,10.37111458,Good,New,Good,1
Car,Average,2,5,142749,550.00,29-10-2023,9,3,15.53795466,Worn Out,New,New,1
SUV,Good,5,10,82141,450.00,06-02-2024,1,2,13.39588491,Good,Good,Good,1
Motorcycle,Good,2,1,72714,513.00,05-12-2023,8,3,15.15264578,Good,New,Weak,1
Van,Poor,4,7,55904,510.00,08-12-2023,5,0,13.398371,Good,New,Good,1
Bus,Good,2,10,86077,510.00,08-12-2023,1,2,10.15683856,Worn Out,New,New,0
Motorcycle,Average,5,1,56230,732.00,30-04-2023,6,0,14.86299684,Worn Out,Worn Out,Weak,1
Van,Good,3,1,144615,620.00,20-08-2023,2,0,13.15001659,Worn Out,Worn Out,Weak,1
Car,Average,5,5,86135,481.00,06-01-2024,8,3,13.02225386,Worn Out,New,Good,1
Car,Good,4,8,78528,760.00,02-04-2023,5,3,13.35498951,New,New,Weak,1
Truck,Poor,3,10,66531,484.00,03-01-2024,2,1,13.81873041,Good,Good,Good,1
Van,Good,3,10,59830,497.00,21-12-2023,8,2,15.86303533,Good,New,Good,1
Van,Average,4,10,1187,604.00,05-09-2023,5,3,19.26912353,Worn Out,New,New,1
Bus,Average,2,6,135664,463.00,24-01-2024,5,1,14.05382854,Worn Out,New,New,0
Motorcycle,Good,2,6,50439,440.00,16-02-2024,3,1,15.87907106,Good,Good,New,0
Car,Poor,0,3,37349,495.00,23-12-2023,10,0,17.0442697,Worn Out,Good,New,0
SUV,Good,5,7,108070,557.00,22-10-2023,1,1,13.35573527,New,Good,Good,1
SUV,Good,1,5,60864,708.00,24-05-2023,3,2,11.39658738,Worn Out,Worn Out,New,1
Bus,Average,4,10,20794,505.00,13-12-2023,5,0,13.75882832,Worn Out,Good,Weak,1
Car,Average,3,6,90998,615.00,25-08-2023,4,0,18.74605789,Worn Out,New,New,1
SUV,Poor,3,2,89905,618.00,22-08-2023,4,2,14.31837073,New,New,Good,1
Motorcycle,Poor,3,1,20739,700.00,01-06-2023,4,2,13.53346867,New,Worn Out,New,1
Bus,Average,1,7,65606,723.00,09-05-2023,4,3,18.97700449,New,New,New,0
Truck,Poor,4,6,138892,662.00,09-07-2023,6,0,14.49993783,New,Worn Out,New,1
Motorcycle,Average,0,8,80077,763.00,30-03-2023,10,1,15.73675103,Worn Out,Good,Weak,1
Van,Good,0,2,3945,681.00,20-06-2023,5,3,15.83154154,New,Good,Weak,1
Van,Good,4,9,71725,669.00,02-07-2023,5,3,19.49296177,New,New,Good,1
Motorcycle,Poor,4,8,102678,499.00,19-12-2023,6,0,14.48287254,New,New,Good,1
Car,Average,5,4,95270,537.00,11-11-2023,3,2,18.52247329,New,Worn Out,Weak,1
Bus,Poor,4,10,125843,597.00,12-09-2023,1,1,11.13659199,Worn Out,Worn Out,Weak,1
Bus,Average,4,4,87318,674.00,27-06-2023,8,1,16.91824565,Worn Out,Good,Good,1
Motorcycle,Average,3,5,94182,754.00,08-04-2023,9,1,17.89205496,New,Good,New,1
Truck,Poor,3,9,128705,665.00,06-07-2023,5,3,18.10572591,New,New,New,1
Truck,Good,4,6,63960,444.00,12-02-2024,10,3,16.60802519,Worn Out,Worn Out,New,1
Truck,Average,5,8,122369,674.00,27-06-2023,4,2,17.43450983,Worn Out,New,Weak,1
Car,Average,2,2,54377,496.00,22-12-2023,1,3,16.10126752,New,New,New,0
Bus,Good,1,6,3707,568.00,11-10-2023,4,3,17.27190838,New,New,Good,0
Motorcycle,Poor,3,1,9440,749.00,13-04-2023,6,1,19.05624189,Worn Out,Good,New,1
Car,Good,3,1,24453,462.00,25-01-2024,10,0,16.7057514,Good,New,Weak,1
Bus,Poor,1,5,39821,484.00,03-01-2024,10,1,18.57491558,Good,Worn Out,Good,1
Truck,Good,4,1,13667,710.00,22-05-2023,9,1,18.19664328,New,Worn Out,Weak,1
Truck,Average,4,7,2048,527.00,21-11-2023,7,3,12.58822146,Worn Out,New,Good,1
SUV,Average,0,10,2532,759.00,03-04-2023,2,2,18.79586437,New,New,Good,0
Van,Good,4,8,34898,733.00,29-04-2023,10,3,10.47833823,New,Worn Out,Good,1
Motorcycle,Poor,1,1,145415,539.00,09-11-2023,9,3,18.9116756,Good,New,New,1
Truck,Average,0,6,80263,608.00,01-09-2023,1,2,11.40599602,Worn Out,New,Good,0
Truck,Poor,5,4,116321,681.00,20-06-2023,3,0,16.96598346,Worn Out,Worn Out,Weak,1
Truck,Poor,5,9,102374,740.00,22-04-2023,7,1,11.80911433,New,Worn Out,New,1
Bus,Good,5,2,73801,563.00,16-10-2023,9,2,11.66125127,Good,New,New,1
Car,Good,4,4,93442,618.00,22-08-2023,10,2,19.31317889,New,New,Good,1
Motorcycle,Average,2,2,131608,618.00,22-08-2023,2,2,14.42637904,New,Good,Good,0
Bus,Good,1,2,61545,713.00,19-05-2023,9,1,12.79000515,Worn Out,Good,Weak,1
